,code,days
1108,600323,3857
1109,2739,451
1110,600714,4965
1111,603616,358
1112,600035,3094
1113,600768,4856
1114,300535,70
1115,2004,3022
1116,600585,3588
1117,886,4562
1118,300435,411
1119,603066,358
1120,759,4734
1121,601166,2386
1122,858,4506
1123,600249,3122
1124,601668,1782
1125,601999,2172
1126,600373,3581
1127,2684,1086
1128,2541,1424
1129,300073,1601
1130,869,3899
1131,2565,1386
1132,300059,1627
1133,300373,694
1134,970,4024
1135,300272,1233
1136,2458,1530
1137,532,5569
1138,2224,2090
1139,600841,5525
1140,600838,5536
1141,2017,3010
1142,600470,3097
1143,601003,2375
1144,600891,5017
1145,300315,1108
1146,600005,4193
1147,600210,4178
1148,600827,5545
1149,600711,4969
1150,2388,1611
1151,300431,413
1152,600545,3155
1153,603669,368
1154,300245,1303
1155,587,4994
1156,2427,1572
1157,300446,392
1158,300029,1681
1159,2410,1582
1160,2692,1046
1161,2425,1572
1162,300170,1414
1163,2546,1411
1164,605,4894
1165,516,5634
1166,300357,696
1167,600513,3328
1168,300124,1498
1169,601677,1260
1170,600287,3933
1171,300337,1061
1172,600125,4497
1173,600971,2985
1174,2711,692
1175,600563,3391
1176,600893,5007
1177,601518,1627
1178,300042,1672
1179,2651,1188
1180,2096,2414
1181,2765,357
1182,2523,1450
1183,300188,1388
1184,600515,3475
1185,600715,4948
1186,501,5634
1187,959,4101
1188,2301,1728
1189,600499,3434
1190,300526,78
1191,600807,5569
1192,2603,1296
1193,300447,393
1194,300163,1427
1195,153,3920
1196,603515,65
1197,2450,1547
1198,600463,3088
1199,2338,1667
1200,600298,3943
1201,561,5485
1202,2139,2292
1203,2435,1567
1204,300380,691
1205,78,4340
1206,603939,433
1207,2444,1550
1208,601808,2227
1209,600643,5634
1210,603818,393
1211,300136,1475
1212,2618,1259
1213,300513,122
1214,601218,1354
1215,600406,3189
1216,603189,47
1217,300155,1431
1218,603188,541
1219,930,4209
1220,600859,5486
1221,600377,3842
1222,603355,379
1223,300538,60
1224,2649,1188
1225,300371,694
1226,300353,1010
1227,960,4067
1228,300453,377
1229,300113,1517
1230,601996,1252
1231,2264,2024
1232,300007,1721
1233,600550,3821
1234,610,4885
1235,2616,1259
1236,2348,1654
1237,2771,347
1238,915,4232
1239,601002,2392
1240,883,4491
1241,415,4937
1242,9,5634
1243,300227,1332
1244,600661,5634
1245,2590,1330
1246,300550,30
1247,603968,376
1248,2644,1197
1249,600165,4483
1250,300351,1015
1251,601555,1205
1252,300178,1409
1253,601339,1086
1254,2207,2148
1255,300148,1447
1256,600172,4356
1257,2790,179
1258,600713,4948
1259,2532,1435
1260,601107,1784
1261,2313,1697
1262,601113,1353
1263,600054,4743
1264,603989,377
1265,521,5624
1266,780,4720
1267,600778,4840
1268,601288,1548
1269,600795,4776
1270,2431,1570
1271,300330,1081
1272,600331,3620
1273,600383,3790
1274,2625,1232
1275,600882,5084
1276,600501,3749
1277,600980,3054
1278,600739,4913
1279,852,4356
1280,2003,3022
1281,300508,150
1282,300364,452
1283,600400,3848
1284,893,4336
1285,2199,2172
1286,300064,1622
1287,601579,551
1288,2082,2438
1289,2489,1486
1290,2550,1406
1291,601198,431
1292,300441,392
1293,600975,3034
1294,2349,1654
1295,2693,1046
1296,300503,178
1297,600926,23
1298,603222,433
1299,603800,236
1300,300202,1368
1301,603861,169
1302,600979,2971
1303,603887,36
1304,603698,447
1305,600765,4859
1306,603,4909
1307,600187,4367
1308,2087,2430
1309,300321,1100
1310,2635,1216
1311,2781,228
1312,600875,5125
1313,600479,3092
1314,2319,1691
1315,300067,1605
1316,2159,2257
1317,600967,3050
1318,300342,1055
1319,601163,50
1320,300282,1192
1321,300471,358
1322,2278,1773
1323,600969,3073
